Velocity,AOA,Inaccuracy,d2Yl,y_TE,a_TE,CL,CD
55,2,-1,-0.1,0.05,-10,0.070337664,0.011264787
55,4,-1,-0.1,0.05,-10,0.320609168,0.011455397
55,6,-1,-0.1,0.05,-10,0.559380697,0.012651634
55,8,-1,-0.1,0.05,-10,0.803591846,0.014000415
55,-4,-1,-0.1,-0.05,-10,0.414665676,0.012064164
55,-2,-1,-0.1,-0.05,-10,0.671397473,0.012446588
55,0,-1,-0.1,-0.05,-10,0.903184837,0.014308343
55,2,-1,-0.1,-0.05,-10,1.112269692,0.016409326
55,4,-1,-0.1,-0.05,-10,1.313564395,0.019590897
55,6,-1,-0.1,-0.05,-10,1.464256546,0.024814326
55,8,-1,-0.1,-0.05,-10,1.607833678,0.031006501
65,-3,-1,0.1,0.05,-15,-0.417207838,0.014185968
65,-1,-1,0.1,0.05,-15,-0.167257888,0.012061184
65,0,-1,0.1,0.05,-15,-0.039515233,0.01124956
65,1,-1,0.1,0.05,-15,0.092943926,0.011249144
65,3,-1,0.1,0.05,-15,0.339068113,0.011249678
65,5,-1,0.1,0.05,-15,0.589166064,0.012098254
65,7,-1,0.1,0.05,-15,0.835649946,0.013437362
65,-3,-1,0.1,-0.05,-15,0.698696978,0.012115191
65,-1,-1,0.1,-0.05,-15,0.940046311,0.013267329
65,0,-1,0.1,-0.05,-15,1.058352259,0.01435433
65,1,-1,0.1,-0.05,-15,1.160765243,0.015140133
65,3,-1,0.1,-0.05,-15,1.381609225,0.018508289
65,5,-1,0.1,-0.05,-15,1.561915001,0.023075228
65,7,-1,0.1,-0.05,-15,1.68491367,0.029315812
65,-3,-1,-0.1,0.05,-15,-0.45732034,0.014252074
65,-1,-1,-0.1,0.05,-15,-0.212157393,0.012264746
65,0,-1,-0.1,0.05,-15,-0.087960683,0.011624382
65,1,-1,-0.1,0.05,-15,0.044875564,0.011308929
65,3,-1,-0.1,0.05,-15,0.297326603,0.011151786
65,5,-1,-0.1,0.05,-15,0.543560781,0.011692803
65,7,-1,-0.1,0.05,-15,0.7916617,0.013551282
56,-3,-1,-0.1,-0.05,-15,0.617026945,0.012331622
56,-1,-1,-0.1,-0.05,-15,0.843973048,0.013566629
56,0,-1,-0.1,-0.05,-15,0.966665915,0.014287268
56,1,-1,-0.1,-0.05,-15,1.079230753,0.015703462
56,3,-1,-0.1,-0.05,-15,1.28739388,0.018789601
56,5,-1,-0.1,-0.05,-15,1.4690153,0.022126104
56,7,-1,-0.1,-0.05,-15,1.62639047,0.028042125
65,-3,-1,0.2,0,0,-0.091894747,0.011278339
65,-1,-1,0.2,0,0,0.159004521,0.010654684
65,0,-1,0.2,0,0,0.276013376,0.010688133
65,1,-1,0.2,0,0,0.404791628,0.010764647
65,3,-1,0.2,0,0,0.656671436,0.011859077
65,5,-1,0.2,0,0,0.891431529,0.013580803
65,7,-1,0.2,0,0,1.127445086,0.016172405
65,-3,-1,-0.2,0,0,-0.19125216,0.012000807
65,-1,-1,-0.2,0,0,0.050550635,0.010811847
65,0,-1,-0.2,0,0,0.176396495,0.01108104
65,1,-1,-0.2,0,0,0.298121716,0.011042872
65,3,-1,-0.2,0,0,0.543348375,0.011721661
65,5,-1,-0.2,0,0,0.782772796,0.01333113
65,7,-1,-0.2,0,0,1.00815932,0.015614975
65,-3,-1,0.2,0,5,-0.187847628,0.011587639
65,-1,-1,0.2,0,5,0.05984506,0.010925153
65,0,-1,0.2,0,5,0.182004926,0.010806603
65,1,-1,0.2,0,5,0.312566123,0.010862153
65,3,-1,0.2,0,5,0.560533879,0.011561639
65,5,-1,0.2,0,5,0.80920959,0.013423769
65,7,-1,0.2,0,5,1.047819013,0.016024324
65,-3,-1,0.2,0,-5,-0.008835376,0.011169039
65,-1,-1,0.2,0,-5,0.244630893,0.010671413
65,0,-1,0.2,0,-5,0.368888961,0.010734552
65,1,-1,0.2,0,-5,0.493250115,0.010883335
65,3,-1,0.2,0,-5,0.738020007,0.011996503
65,5,-1,0.2,0,-5,0.988784856,0.013627182
65,7,-1,0.2,0,-5,1.197674638,0.017099275
65,-3,-1,-0.2,0,5,-0.288870129,0.011970672
65,-1,-1,-0.2,0,5,-0.034653379,0.011021344
65,0,-1,-0.2,0,5,0.078349519,0.010882949
65,1,-1,-0.2,0,5,0.213257611,0.011180515
65,3,-1,-0.2,0,5,0.213251873,0.011180515
65,5,-1,-0.2,0,5,0.699930754,0.012923442
65,7,-1,-0.2,0,5,0.916191137,0.01581729
65,-3,-1,-0.2,0,-5,-0.105396464,0.011530248
65,-1,-1,-0.2,0,-5,0.135967313,0.011220019
65,0,-1,-0.2,0,-5,0.258327476,0.010992061
65,1,-1,-0.2,0,-5,0.38862967,0.011182534
65,3,-1,-0.2,0,-5,0.63458219,0.012103656
65,5,-1,-0.2,0,-5,0.867358112,0.013801005
65,7,-1,-0.2,0,-5,1.091531933,0.016348701
65,-3,-1,0.2,0,-10,0.084266716,0.011569861
65,-1,-1,0.2,0,-10,0.339474029,0.011155852
65,0,-1,0.2,0,-10,0.465629604,0.010919474
65,1,-1,0.2,0,-10,0.588640342,0.01132634
65,3,-1,0.2,0,-10,0.832793692,0.012486046
65,5,-1,0.2,0,-10,1.07787047,0.014530062
65,7,-1,0.2,0,-10,1.288534392,0.017667815
65,-3,-1,-0.2,0,-10,-0.017768587,0.011576845
65,-1,-1,-0.2,0,-10,0.235476556,0.011373135
